t|Main,Q_g8|LM2500_8,V_g8|LM2500_8,freq_gt_8|LM2500_8,Vlow_gt_8|LM2500_8,P_g8|LM2500_8
0,-1.14E-53,1.90E-29,0,0,2.24E-41
0.001,5.58E-06,0.001344137,60,0.000224658,6.22E-05
0.002,0.000143526,0.003767462,60,0.000887959,0.000867924
0.003,0.001070903,0.007093856,60,0.002079267,0.00395911
0.004,0.004124039,0.010807177,60,0.003663506,0.011229381
0.005,0.011559467,0.015026333,60,0.005570616,0.024359467
0.006,0.025586007,0.020014021,60,0.008054701,0.044283117
0.007,0.048373288,0.025114899,60,0.010730492,0.071323881
0.008,0.082605691,0.030602659,60,0.013782371,0.104571506
0.009,0.128219086,0.036842228,60,0.017382092,0.142982777
0.01,0.185601103,0.043045513,60,0.020940683,0.18544426
0.011,0.253649189,0.049570653,60,0.025065224,0.230875181
0.012,0.328246587,0.056868019,60,0.029596126,0.279487358
0.013,0.408870155,0.064025691,60,0.033922749,0.33186774
0.014,0.492317352,0.071978769,60,0.039010701,0.388861157
0.015,0.574460873,0.079723542,60,0.044270118,0.452733526
0.016,0.657601577,0.087757173,60,0.049311793,0.524214627
0.017,0.738202361,0.096613583,60,0.055232927,0.603404393
0.018,0.814980616,0.105173606,60,0.060999698,0.691743651
0.019,0.89130043,0.113938132,60,0.066768627,0.786787082
0.02,0.960115151,0.123451859,60,0.073378475,0.887549183
0.021,1.025203192,0.132519215,60,0.079450115,0.994325228
0.022,1.086513372,0.141701411,60,0.0860064,1.102328279
0.023,1.134845489,0.151583474,60,0.093149341,1.212894281
0.024,1.180611218,0.160949977,60,0.099498096,1.325084265
0.025,1.21785781,0.171012659,60,0.106788434,1.433408245
0.026,1.241607036,0.180499141,60,0.11429429,1.543011059
0.027,1.265418848,0.190064019,60,0.120985332,1.649442672
0.028,1.27476889,0.200299725,60,0.128913055,1.749088684
0.029,1.277488581,0.209937897,60,0.136590041,1.85002587
0.03,1.28038046,0.219631489,60,0.143745641,1.94208049
0.031,1.263807591,0.229970967,60,0.152183507,2.027869885
0.032,1.250039887,0.239703156,60,0.15981513,2.114464809
0.033,1.232877098,0.249460834,60,0.167607446,2.18733317
0.034,1.195833534,0.259846954,60,0.176398514,2.258220096
0.035,1.16993053,0.269621426,60,0.183921294,2.32702496
0.036,1.132189128,0.279392257,60,0.192403445,2.379973815
0.037,1.083536232,0.289790285,60,0.201366826,2.437401246
0.038,1.048962146,0.299575581,60,0.208911417,2.487286769
0.039,0.992969409,0.309981606,60,0.217980234,2.523542818
0.04,0.940585845,0.319736269,60,0.226916186,2.56919945
0.041,0.899229556,0.329517827,60,0.234688876,2.600535513
0.042,0.829778198,0.339905004,60,0.2442168,2.625165285
0.043,0.778797768,0.34966351,60,0.252906268,2.659884134
0.044,0.729509857,0.359434403,60,0.261164794,2.67412675
0.045,0.653460384,0.369809191,60,0.27099534,2.692503875
0.046,0.606523638,0.379571525,60,0.279261686,2.716338128
0.047,0.545471854,0.389323778,60,0.288253967,2.716674144
0.048,0.471729122,0.399695665,60,0.298198158,2.733391401
0.049,0.428890785,0.409458167,60,0.306198535,2.745873571
0.05,0.355092947,0.419190721,60,0.315851852,2.73904602
0.051,0.289702879,0.429565752,60,0.325690489,2.756655603
0.052,0.248748623,0.439326436,60,0.333686941,2.758469116
0.053,0.16496465,0.449691095,60,0.343850081,2.752153016
0.054,0.111576079,0.459424559,60,0.353339407,2.772045702
0.055,0.068299014,0.469177977,60,0.361652794,2.765819831
0.056,-0.017734872,0.479533569,60,0.372147756,2.768131329
0.057,-0.057031686,0.48927549,60,0.381026067,2.79002839
0.058,-0.109397899,0.499017484,60,0.390030147,2.779557555
0.059,-0.186503565,0.509371481,60,0.400652536,2.795801835
0.06,-0.21271625,0.519120711,60,0.408945106,2.817071855
0.061,-0.277828283,0.528849163,60,0.418763693,2.808416576
0.062,-0.338744156,0.539210488,60,0.42927995,2.839780635
0.063,-0.355834734,0.548962618,60,0.437313325,2.857534487
0.064,-0.431998939,0.559328187,60,0.447778259,2.857646949
0.065,-0.472731021,0.569051457,60,0.457925095,2.901646087
0.066,-0.488393015,0.578804556,60,0.466088663,2.914135605
0.067,-0.570500512,0.589162418,60,0.476995695,2.930194656
0.068,-0.591623932,0.598896422,60,0.486482251,2.983385086
0.069,-0.617135183,0.608645723,60,0.495200897,2.991996282
0.07,-0.692799619,0.618999934,60,0.50631511,3.029643934
0.071,-0.695874608,0.628745713,60,0.514927959,3.086941104
0.072,-0.740002359,0.63848375,60,0.524588996,3.096365578
0.073,-0.796767177,0.648845668,60,0.53564853,3.157913603
0.074,-0.786139924,0.658598644,60,0.543696236,3.21311314
0.075,-0.849078737,0.668325961,60,0.5541882,3.232380615
0.076,-0.881057318,0.67869634,60,0.564906074,3.314369568
0.077,-0.86507857,0.688454629,60,0.572836122,3.362861892
0.078,-0.940009167,0.698819872,60,0.583935938,3.399841847
0.079,-0.94555899,0.708554003,60,0.593999503,3.495697685
0.08,-0.937317675,0.718311312,60,0.602308635,3.535143905
0.081,-1.013190999,0.728672688,60,0.613757466,3.596898638
0.082,-0.994797483,0.738418849,60,0.622831182,3.698275892
0.083,-1.010801545,0.748168643,60,0.632052994,3.730831667
0.084,-1.069118091,0.758531454,60,0.643558867,3.820997247
